Sample,e_coli,c_beijerinckii,b_fragilis,human,forward_reads,reverse_reads
0_perc_host_1,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_1_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_1_R2.fastq.gz
0_perc_host_2,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_2_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_2_R2.fastq.gz
0_perc_host_3,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_3_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_3_R2.fastq.gz
0_perc_host_4,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_4_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_4_R2.fastq.gz
0_perc_host_5,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_5_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_5_R2.fastq.gz
0_perc_host_6,200000.0,200000.0,200000.0,0.0,synthetic/synthetic_transcriptomes_p40/0_perc_host_6_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/0_perc_host_6_R2.fastq.gz
25_perc_host_1,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_1_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_1_R2.fastq.gz
25_perc_host_2,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_2_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_2_R2.fastq.gz
25_perc_host_3,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_3_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_3_R2.fastq.gz
25_perc_host_4,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_4_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_4_R2.fastq.gz
25_perc_host_5,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_5_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_5_R2.fastq.gz
25_perc_host_6,200000.0,200000.0,200000.0,200000.0,synthetic/synthetic_transcriptomes_p40/25_perc_host_6_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/25_perc_host_6_R2.fastq.gz
50_perc_host_1,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_1_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_1_R2.fastq.gz
50_perc_host_2,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_2_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_2_R2.fastq.gz
50_perc_host_3,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_3_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_3_R2.fastq.gz
50_perc_host_4,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_4_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_4_R2.fastq.gz
50_perc_host_5,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_5_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_5_R2.fastq.gz
50_perc_host_6,200000.0,200000.0,200000.0,600000.0,synthetic/synthetic_transcriptomes_p40/50_perc_host_6_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/50_perc_host_6_R2.fastq.gz
66_perc_host_1,200000.0,200000.0,200000.0,1200000.0,synthetic/synthetic_transcriptomes_p40/66_perc_host_1_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/66_perc_host_1_R2.fastq.gz
66_perc_host_2,200000.0,200000.0,200000.0,1200000.0,synthetic/synthetic_transcriptomes_p40/66_perc_host_2_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/66_perc_host_2_R2.fastq.gz
66_perc_host_3,200000.0,200000.0,200000.0,1200000.0,synthetic/synthetic_transcriptomes_p40/66_perc_host_3_R1.fastq.gz,synthetic/synthetic_transcriptomes_p40/66_perc_host_3_R2.fastq.gz
